animeID,title,alternative_title,type,year,score,episodes,mal_url,sequel,image_url,genres,genres_detailed
8095,Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,,OVA,2023,6.32,1,https://myanimelist.net/anime/54629,False,https://cdn.myanimelist.net/images/anime/1394/133840.jpg,['Hentai'],"['adult audience only', 'hentai']"
8096,Kutsujoku,,OVA,2019,6.5,2,https://myanimelist.net/anime/40048,False,https://cdn.myanimelist.net/images/anime/1143/104167.jpg,['Hentai'],"['adult audience only', 'hentai', 'present', 'school']"
8097,Kanojo ga Yatsu ni Idakareta Hi,,OVA,2020,5.51,4,https://myanimelist.net/anime/42141,False,https://cdn.myanimelist.net/images/anime/1954/109495.jpg,['Hentai'],"['adult audience only', 'hentai', 'present', 'tsundere']"
8098,Toilet no Hanako-san vs Kukkyou Taimashi,,OVA,2021,6.65,4,https://myanimelist.net/anime/48450,False,https://cdn.myanimelist.net/images/anime/1919/113583.jpg,['Hentai'],"['adult audience only', 'ghost', 'hentai']"
8099,Cosplay Change: Pure-kei Joshidaisei no Kiken na Seiheki,,OVA,2021,5.03,4,https://myanimelist.net/anime/49943,False,https://cdn.myanimelist.net/images/anime/1384/118088.jpg,['Hentai'],"['adult audience only', 'hentai']"
8100,Hatsukoi Jikan,,OVA,2023,7.25,6,https://myanimelist.net/anime/56511,False,https://cdn.myanimelist.net/images/anime/1163/138201.jpg,['Hentai'],"['adult audience only', 'hentai', 'present']"
8101,Kimi ga Suki. The Animation,,OVA,2021,6.56,2,https://myanimelist.net/anime/44192,False,https://cdn.myanimelist.net/images/anime/1623/110360.jpg,['Hentai'],"['adult audience only', 'hentai', 'present', 'romance']"
8102,The Right Side and the Wrong Side of Honor Student Ayaka,Yuutousei Ayaka no Uraomote,OVA,2020,6.49,2,https://myanimelist.net/anime/41396,False,https://cdn.myanimelist.net/images/anime/1088/106369.jpg,['Hentai'],"['adult audience only', 'hentai']"
8103,Succubus ★ Connect!,,OVA,2024,5.98,2,https://myanimelist.net/anime/58122,False,https://cdn.myanimelist.net/images/anime/1193/142060.jpg,['Hentai'],"['adult audience only', 'demon', 'fantasy', 'hentai']"
8104,Welcome to Hinagiku Virgin Lost Club,Hinagiku Virgin Lost Club e Youkoso,OVA,2019,6.89,2,https://myanimelist.net/anime/38995,False,https://cdn.myanimelist.net/images/anime/1310/115094.jpg,['Hentai'],"['adult audience only', 'hentai', 'present', 'school']"
8105,Kowaremono The Animation,,OVA,2015,5.93,1,https://myanimelist.net/anime/31995,False,https://cdn.myanimelist.net/images/anime/1252/104294.jpg,['Hentai'],"['adult audience only', 'erotica', 'hentai', 'present', 'school']"
8106,Gaki ni Modotte Yarinaoshi!!!,,ONA,2019,6.38,2,https://myanimelist.net/anime/39042,False,https://cdn.myanimelist.net/images/anime/1685/112556.jpg,['Hentai'],"['adult audience only', 'elementary school', 'harem', 'hentai', 'older woman, younger man', 'present', 'school']"
8107,Midareuchi,,OVA,2024,6.51,2,https://myanimelist.net/anime/58185,False,https://cdn.myanimelist.net/images/anime/1263/150010.jpg,['Hentai'],"['adult audience only', 'hentai', 'present', 'school']"
8108,Shoujo-tachi no Sadism The Animation,,OVA,2016,6.51,2,https://myanimelist.net/anime/33962,False,https://cdn.myanimelist.net/images/anime/1742/124714.jpg,['Hentai'],"['adult audience only', 'erotica', 'hentai', 'present', 'romance', 'school']"
8109,Real Erogame Situation!,Real Eroge Situation! The Animation,OVA,2018,6.87,2,https://myanimelist.net/anime/36737,False,https://cdn.myanimelist.net/images/anime/1209/103774.jpg,['Hentai'],"['adult audience only', 'hentai', 'high school', 'present', 'school']"
