animeID,title,alternative_title,type,year,score,episodes,mal_url,sequel,image_url,genres,genres_detailed
16189,World's Best Martial Artist,Quanqiu Gao Wu,ONA,2024,7.36,16,https://myanimelist.net/anime/60526,False,https://cdn.myanimelist.net/images/anime/1217/146967.jpg,"['Action', 'Fantasy']","['action', 'adventure', 'age regression', 'based on a web novel', 'chinese animation', 'chinese production', 'comedy', 'fantasy', 'isekai', 'male protagonist', 'martial arts', 'urban', 'urban fantasy']"
16190,1 Second,1 Cho,TV,2024,4.82,13,https://myanimelist.net/anime/57101,False,https://cdn.myanimelist.net/images/anime/1599/139552.jpg,"['Action', 'Supernatural']","['action', 'based on a webtoon', 'drama', 'firefighters', 'korean animation', 'rescue', 'super power', 'supernatural']"
16191,IDOLiSH7 4th Season,,TV,?,?,0,https://myanimelist.net/anime/60829,True,https://cdn.myanimelist.net/images/anime/1599/139552.jpg,['Drama'],"['based on a mobile game', 'dancing', 'drama', 'ensemble cast', 'foreign', 'idol', 'idols', 'idols (male)', 'male protagonist', 'music', 'primarily adult cast', 'primarily male cast', 'royal affairs', 'sequel', 'showbiz', 'twins', 'work']"
16192,Reincarnation no Kaben,,TV,2025,?,12,https://myanimelist.net/anime/59443,False,https://cdn.myanimelist.net/images/anime/1783/144569.jpg,"['Action', 'Mystery', 'Supernatural']","['action', 'based on a manga', 'historical', 'horror', 'japanese production', 'mystery', 'psychological', 'reincarnation', 'shounen', 'super power', 'supernatural']"
16193,Ghost of Tsushima: Legends,,SPECIAL,2027,?,12,https://myanimelist.net/anime/60714,False,https://cdn.myanimelist.net/images/anime/1964/147395.jpg,"['Action', 'Mystery', 'Supernatural']","['action', 'adventure', 'assassins', 'based on a video game', 'crunchyroll co-production', 'historical', 'japanese production', 'old asia', 'samurai', 'swordplay', 'swords & co']"
16194,Norman the Snowman: The Northern Lights,Norman the Snowman: Kita no Kuni no Aurora,MOVIE,2013,6.24,1,https://myanimelist.net/anime/20799,False,https://cdn.myanimelist.net/images/anime/1573/111019.jpg,"['Adventure', 'Fantasy']","['adventure', 'coming of age', 'contemporary fantasy', 'family friendly', 'family life', 'fantasy', 'japanese production', 'kids', 'original work', 'present', 'shorts', 'stop motion', 'stop motion animation']"
16195,The Brave-Tuber,Haishin Yuusha,ONA,2019,6.21,12,https://myanimelist.net/anime/39851,False,https://cdn.myanimelist.net/images/anime/1070/104956.jpg,"['Comedy', 'Fantasy']","['based on a manga', 'comedy', 'fantasy', 'japanese production', 'manga', 'multi-anime projects', 'shounen', 'tate anime', 'vertical format']"
16196,Kerokero Keroppi no Mitsubachi Daisoudou,,OVA,1993,4.73,1,https://myanimelist.net/anime/22653,False,https://cdn.myanimelist.net/images/anime/7/58993.jpg,['Fantasy'],"['animal protagonists', 'animals', 'anthropomorphic', 'anthropomorphism', 'comedy', 'family friendly', 'fantasy', 'frogs', 'japanese production', 'kids', 'non-human protagonists', 'sanrio characters']"
16197,Nukitashi the Animation,,TV,2025,?,12,https://myanimelist.net/anime/57969,False,https://cdn.myanimelist.net/images/anime/1587/149982.jpg,['Erotica'],"['action', 'based on a visual novel', 'based on an eroge', 'coastal', 'comedy', 'drama', 'ecchi', 'erotic game', 'erotica', 'game', 'harem', 'island', 'japanese production', 'male protagonist', 'nudity', 'present', 'primarily female cast', 'primarily teen cast', 'romance', 'school', 'slice of life', 'visual novel']"
16198,Chun Tae-il,Tae-il,MOVIE,2021,6.18,1,https://myanimelist.net/anime/50326,False,https://cdn.myanimelist.net/images/anime/1215/119269.jpg,[],"['biographical', 'biography', 'drama', 'hero of strong character', 'historical', 'korean animation', 'present', 'slice of life', 'suicide', 'work']"
